File,Transcription
phrase_apple_301,æpəl
phrase_apple_302,æpəl
phrase_apple_305,æpəl
phrase_apple_306,æpo
phrase_apple_309,æpəl
phrase_apple_311,æpəl
phrase_apple_313,æpo
phrase_apple_316,æpəl
phrase_apple_318,æpəl
phrase_apple_321,æpəl
phrase_apple_322,æpəl
phrase_apple_325,æpəl
phrase_apple_recast_317,æpo
phrase_book_302,bʊk
phrase_book_305,bʊk
phrase_book_306,bʊk
phrase_book_309,bʊk
phrase_book_310,bʊk
phrase_book_313,bʊk
phrase_book_315,bʊk
phrase_book_318,bʊk
phrase_book_321,bʊk
phrase_book_322,bʊk
phrase_book_325,bʊk
phrase_book_326,bʊk
phrase_cat_302,kæt
phrase_cat_304,kæt
phrase_cat_306,kæt
phrase_cat_309,kæt
phrase_cat_310,kæt
phrase_cat_313,kæt
phrase_cat_314,kæt
phrase_cat_318,kæt
phrase_cat_320,kæt
phrase_cat_322,kæt
phrase_cat_325,kæt
phrase_cat_recast_317,kɛt
phrase_chicken_302,tʃɪkɪn
phrase_chicken_303,tʃɪkɪn
phrase_chicken_306,tʃɪkɪn
phrase_chicken_308,tʃɪkɪn
phrase_chicken_310,tʃɪkɪn
phrase_chicken_315,tʃɪkɪn
phrase_chicken_316,tʃukɪn
phrase_chicken_322,tʃɪkɪn
phrase_chicken_323,tʃɪki
phrase_chicken_326,tʃɪkɪn
phrase_chicken_recast_313,tʃɪkɪn
phrase_chicken_recast_319,tʃɪkɪn
phrase_couch_302,gaʊtʃ
phrase_couch_303,kaʊtʃ
phrase_couch_306,kaʊtʃ
phrase_couch_307,kaʊtʃ
phrase_couch_310,kaʊʃ
phrase_couch_312,kɛs
phrase_couch_314,kaʊtʃ
phrase_couch_318,kaʊtʃ
phrase_couch_320,kaʊtʃ
phrase_couch_323,kaʊtʃ
phrase_couch_325,kaʊtʃ
phrase_couch_recast_319,kaʊtʃ
phrase_dog_301,dɑg
phrase_dog_303,dɑg
phrase_dog_308,dɑg
phrase_dog_309,dɑg
phrase_dog_312,dɑk
phrase_dog_313,dɑg
phrase_dog_316,dɑg
phrase_dog_319,dɑgə
phrase_dog_321,dɑg
phrase_dog_324,dɑg
phrase_dog_325,dɑg
phrase_dog_recast_307,dɑg
phrase_dog_recast_317,dɑ
phrase_fish_302,fɪʃ
phrase_fish_304,fɪʃ
phrase_fish_306,fɪʃ
phrase_fish_309,fɪʃ
phrase_fish_310,fɪʃ
phrase_fish_313,fɪʃ
phrase_fish_314,fɪʃ
phrase_fish_318,fɪʃ
phrase_fish_320,fɪʃ
phrase_fish_322,fɪʃ
phrase_fish_325,fɪʃ
phrase_fish_326,fɪʃ
phrase_game_302,geɪm
phrase_game_303,geɪm
phrase_game_307,geɪm
phrase_game_309,geɪm
phrase_game_311,geɪm
phrase_game_314,geɪm
phrase_game_315,geɪm
phrase_game_319,geɪm
phrase_game_320,geɪm
phrase_game_324,geɪm
phrase_game_326,geɪm
phrase_game_recast_317,geɪm
phrase_hammer_302,hæmɚ
phrase_hammer_303,hæmɚ
phrase_hammer_306,hæmo
phrase_hammer_307,hæmo
phrase_hammer_310,hæmɚ
phrase_hammer_312,hæmə
phrase_hammer_314,hæmɚ
phrase_hammer_318,hæmɚ
phrase_hammer_320,hæmə
phrase_hammer_323,hæmbɚ
phrase_hammer_324,hæmɚ
phrase_hammer_recast_317,hæmɚ
phrase_hat_301,hæt
phrase_hat_303,hæt
phrase_hat_306,hæt
phrase_hat_307,hæt
phrase_hat_310,hæt
phrase_hat_311,æt
phrase_hat_314,hæt
phrase_hat_316,hæt
phrase_hat_319,hæt
phrase_hat_322,hæt
phrase_hat_323,hæt
phrase_hat_326,hæʔ
phrase_hat_recast_317,hæt
phrase_house_303,haʊs
phrase_house_305,haʊs
phrase_house_307,haʊs
phrase_house_310,haʊs
phrase_house_311,haʊs
phrase_house_314,haʊs
